level,metric,description,unit,calculation
workspace,docstring_coverage_pct,Average project docstring coverage % across projects (snapshot-based).,percent,mean(project.docstring_coverage_pct)
workspace,forge_import_symbols_pct,Average project Function Forge import-symbol share % across projects (snapshot-based).,percent,mean(project.forge_import_symbols_pct)
workspace,mr_added_docstring_lines,Total added docstring-like lines across merged MR diffs.,lines,sum(project.mr_added_docstring_lines)
workspace,mr_notebooks_net_files,Total net notebook file change via merged MRs.,count,sum(project.mr_notebooks_net_files)
workspace,mr_notes_total,Total MR notes across projects.,count,sum(project.mr_notes_total)
workspace,mr_pipelines_canceled,Total canceled attributed MR pipelines across projects.,count,sum(project.mr_pipelines_canceled)
workspace,mr_pipelines_failed,Total failed attributed MR pipelines across projects.,count,sum(project.mr_pipelines_failed)
workspace,mr_pipelines_success,Total successful attributed MR pipelines across projects.,count,sum(project.mr_pipelines_success)
workspace,mr_pipelines_total,Total attributed MR pipelines across projects.,count,sum(project.mr_pipelines_total)
workspace,mr_test_files_touched,Total test files touched across merged MR diffs.,count,sum(project.mr_test_files_touched)
workspace,mr_test_lines_added,Total nonblank test lines added across merged MR diffs.,lines,sum(project.mr_test_lines_added)
workspace,mr_time_to_close_hours_mean,Mean of project means for time-to-close.,hours,mean(project.mr_time_to_close_hours_mean)
workspace,mr_time_to_close_hours_median,Mean of project medians for time-to-close.,hours,mean(project.mr_time_to_close_hours_median)
workspace,mrs_closed,Total MRs closed across projects.,count,sum(project.mrs_closed)
workspace,mrs_created,Total MRs created across projects.,count,sum(project.mrs_created)
workspace,mrs_merged,Total MRs merged across projects.,count,sum(project.mrs_merged)
workspace,mrs_merged_with_mr_pipeline,Total merged MRs with MR pipeline across projects.,count,sum(project.mrs_merged_with_mr_pipeline)
workspace,notebook_ratio,Mean of project notebook_ratio values (not the same as workspace_notebook_ratio).,ratio,mean(project.notebook_ratio)
workspace,notebooks_count,Total notebooks across projects (snapshot-based).,count,sum(project.notebooks_count)
workspace,pct_projects_has_ci_config,Percent of projects with has_ci_config=1 in the month (snapshot-based).,percent,100*mean(has_ci_config)
workspace,pct_projects_has_configs,Percent of projects with has_configs=1 in the month (snapshot-based).,percent,100*mean(has_configs)
workspace,pct_projects_has_docs,Percent of projects with has_docs=1 in the month (snapshot-based).,percent,100*mean(has_docs)
workspace,pct_projects_has_notebooks_dir,Percent of projects with has_notebooks_dir=1 in the month (snapshot-based).,percent,100*mean(has_notebooks_dir)
workspace,pct_projects_has_requirements_file,Percent of projects with has_requirements_file=1 in the month (snapshot-based).,percent,100*mean(has_requirements_file)
workspace,pct_projects_has_scripts_dir,Percent of projects with has_scripts_dir=1 in the month (snapshot-based).,percent,100*mean(has_scripts_dir)
workspace,pct_projects_has_src,Percent of projects with has_src=1 in the month (snapshot-based).,percent,100*mean(has_src)
workspace,pct_projects_has_tests,Percent of projects with has_tests=1 in the month (snapshot-based).,percent,100*mean(has_tests)
workspace,pct_projects_has_tests_integration,Percent of projects with has_tests_integration=1 in the month (snapshot-based).,percent,100*mean(has_tests_integration)
workspace,projects_count,Number of projects included in workspace aggregation (per month).,count,count projects
workspace,scripts_count,Total scripts across projects (snapshot-based).,count,sum(project.scripts_count)
workspace,snapshot_ok,Number of successful project-month snapshots in workspace (per month).,count,sum(snapshot_ok)
workspace,workspace_default_branch_pipeline_success_rate,Workspace-wide default-branch pipeline success rate (weighted).,ratio,sum(success)/sum(total)
workspace,workspace_mr_pipeline_adoption_rate,Workspace-wide MR pipeline adoption (merged MRs with MR pipeline / merged MRs).,ratio,sum(mrs_with_pipe)/sum(mrs_merged)
workspace,workspace_mr_pipeline_success_rate,Workspace-wide MR pipeline success rate (weighted).,ratio,sum(success)/sum(total)
workspace,workspace_notebook_ratio,Workspace-wide notebook ratio from total notebooks and scripts.,ratio,sum(notebooks)/(sum(notebooks)+sum(scripts))
