ï»¿#,Priority,Domain,Use Case,Headline,Stage,RAG,Financial - Target,Financial - Actual,Efficiency - Target,Efficiency - Actual,Risk & Regulatory - Target,Risk & Regulatory - Actual,Delivery Speed - Target,Delivery Speed - Actual,Owner
11,High,CDD Business Insights,Data Warehouse Development (EDP - Snowflake/Databricks),Accelerates the build of new data warehouse assets on the Enterprise Data Platform with automated conformance DQ testing and documentation - reducing delivery risk and cost.,Pilot,Amber,30-50% reduction in manual engineering effort for new warehouse assets,In progress,Conformance layer and DQ test suite generated automatically eliminating weeks of manual build,In progress,Automated documentation and DQ testing reduces risk of data errors in production,In progress,Time to first data product on EDP reduced by at least 30%,In progress,Geoff Davies
12,High,Fraud & Mules,Fraud Model Development (Retail Credit BB PB Mules),Standardises and accelerates the build of fraud detection models across all portfolios reducing losses and improving consistency of outcomes across product lines.,Production,Green,Measurable reduction in fraud losses through faster model deployment and refresh cycles,Tracking underway,30-40% reduction in model build time across portfolios,In progress,Consistent implementation across Retail Credit BB and PB reduces risk of divergent behaviour,In progress,Model delivery cycle shortened by at least 4 weeks per build,In progress,Kate Smith
13,Medium,Fraud & Mules,Model Refreshes,Standardises model refresh cycles reducing the risk of defects introduced under delivery pressure and providing clearer audit trails of what has changed.,Production,Green,Reduction in rework and remediation cost following refresh delivery,In progress,Refresh cycle time reduced through consistent templating,In progress,Reduced likelihood of refresh-specific defects reaching production,In progress,Less rework following refresh delivery,In progress,Kate Smith
14,Medium,Fraud & Mules,Fraud Investigations & Analytical Reviews,Standardises how fraud investigations are conducted reducing time to insight and improving consistency of conclusions across investigation teams.,Pilot,Amber,Faster recovery actions through accelerated investigations,To be baselined,Investigation analysis time reduced by 40%,To be baselined,Reduced risk of inconsistent conclusions across investigation teams,To be baselined,First-pass investigation scaffold available within hours of case opening,In progress,Kate Smith
15,High,Fraud & Mules,PoCs and Exploratory Work,Enables the team to test and discard ideas quickly - reducing the cost of experimentation and improving the quality of what reaches production.,Production,Green,Reduced cost of failed initiatives through earlier kill decisions,In progress,PoC stand-up time reduced from weeks to days,In progress,Clear separation between experimentation and production eliminates risk of premature deployment,In progress,Signal on viability within 1-2 weeks vs 6-8 weeks previously,In progress,Kate Smith
16,High,Fraud Analytics,Fraud Analytics EDP Migration (SAS to Python/Databricks),Accelerates migration of fraud analytics from SAS to the modern Python/Databricks platform reducing migration cost and improving long-term analytical quality.,Pilot,Amber,Reduction in migration effort and SAS exit costs,In progress,Migration throughput increased with no additional headcount,In progress,Higher-quality standardised target-state pipelines replacing legacy SAS logic,In progress,Migration timeline shortened materially,In progress,Richard Onions
17,High,Controls & Compliance,Erroneous Payments Detection & Prevention,Automates detection of incorrect duplicate and anomalous payments before they result in financial loss - protecting the bank from human error process failures and control gaps.,Pilot,Amber,Quantified reduction in financial losses from erroneous payments,Baselining in progress,Analyst time freed from manual payment review through automated anomaly detection,To be baselined,Systematic coverage of SSI errors duplicate payments and unusual patterns replacing sampled manual review,In progress,Detection latency reduced: real-time anomaly flagging vs end-of-day review,In progress,Mayank Jain
18,High,Controls & Compliance,Transaction Monitoring QC Automation (TC01),Moves TM quality checking from a sampled manual process to automated 100% coverage - improving consistency reducing analyst burden and strengthening regulatory defensibility.,Pilot,Amber,Reduction in cost of QC remediation; avoidance of regulatory fines from QC failures,To be baselined,QC analyst capacity redirected from checking to higher-value remediation and oversight,To be baselined,100% first-pass QC coverage vs current sampling approach - material reduction in missed errors reaching regulators,In progress,Real-time QC feedback to analysts during case writing not post-submission,In progress,Mayank Jain
19,High,Controls & Compliance,Legal & Regulatory Obligation Mapping (LRR),Automates the mapping of internal controls to regulatory obligations - a task currently consuming 20-25 FTEs - improving traceability consistency and speed of compliance delivery.,PoC,Amber,Reduction in FTE cost of LRR mapping; estimated 20-25 FTE equivalent workload automated,PoC scoping underway,Mapping cycle time reduced from weeks to days per obligation pack,To be baselined,Consistent traceable mapping logic replacing manual interpretation - reducing regulatory exposure,In progress,Obligation pack updates processed within days of OLO publication,To be baselined,Mayank Jain
20,High,Controls & Compliance,Debit Card QA Automation - Reissue Calls,Replaces manual sampled QA of debit card reissue calls with automated full-population review - identifying repeat failures delays and process breaches at scale.,Pilot,Amber,Reduction in cost of manual QA; avoidance of customer-impact costs from undetected process failures,To be baselined,QA coverage increased from approx 100 calls/month to full population with no headcount increase,In progress,Systematic identification of unauthorised actions and unmet outcomes across all high-risk call flows,In progress,QA results available within 24 hours vs current monthly cycle,In progress,Mayank Jain
21,High,Controls & Compliance,CAAR Automation,Automates the Customer Account Activity Review workflow - a manually intensive analytically complex process - improving throughput consistency and governance readiness.,PoC,Amber,Significant reduction in analyst time per CAAR; estimated 40-60% of manual effort automatable,PoC scoping underway,CAAR completion time reduced materially while maintaining human sign-off,To be baselined,Consistent narrative generation and anomaly flagging reduces risk of analyst-level variation in outcomes,In progress,CAAR throughput increased without proportional headcount growth,To be baselined,Mayank Jain
22,Medium,Controls & Compliance,Insider Threat - Behavioural Risk Detection,Identifies potential insider threats earlier by analysing employee behavioural signals across multiple data sources - enabling proactive intervention before losses occur.,PoC,Amber,Loss prevention through earlier detection of insider risk,To be baselined,Multi-source data analysis automated reducing manual investigation burden,To be baselined,Broader coverage of behavioural signals than current manual review allows,To be baselined,Risk signals surfaced in near real-time vs retrospective review,To be baselined,Mayank Jain
23,High,Controls & Compliance,BUK Application Fraud Model Development & Monitoring,Standardises fraud model development and monitoring across BUK application products reducing re-work when porting logic between credit cards loans and current accounts.,Pilot,Amber,Reduced re-work cost when models move between products and platforms,In progress,Validation and testing time reduced through reusable scaffolding,In progress,Consistent governance and MRD logic embedded across all application models from day one,In progress,Platform migration from PoC to production accelerated by 30%,In progress,Mayank Jain
24,High,Data Engineering,Legacy Platform Migration (Teradata/SAS to Databricks),Accelerates migration of undocumented legacy financial crime processes to the modern EDP platform - preserving institutional knowledge while reducing technical debt.,Pilot,Amber,30-50% reduction in manual engineering effort during migration,In progress,Migration throughput increased with no additional headcount,In progress,Institutional knowledge preserved in structured auditable form - reducing risk of critical logic loss,In progress,Migration timeline shortened by at least one quarter,In progress,Geoff Davies / Mayank Jain
25,High,Data Engineering,Data Modelling,Automates the creation of data models governance documentation lineage and PII detection across all data products - reducing delivery time and improving regulatory compliance from the outset.,Pilot,Amber,Hours or days of manual drafting replaced per data product; estimated 40% effort reduction,In progress,Data product delivery cycle shortened materially through automated specification generation,In progress,PII detection and GDPR alignment built into every data product design from day one,In progress,Governance-ready data models produced in days vs weeks,In progress,Mayank Jain
26,Medium,Data Engineering,Data Design,Automates downstream data product design specifications including lineage glossaries attribute dictionaries and CI/CS recommendations - reducing manual effort and improving certification outcomes.,Pilot,Amber,Reduction in manual effort per data product design; estimated 40% time saving,In progress,Design specification produced in days vs weeks of manual drafting,In progress,Automated lineage and metadata raise trust scores and improve Marketplace certification outcomes,In progress,Governance-ready Data Product Designs produced materially faster,In progress,Mayank Jain
