metric,level,unit,formula,definition,meaning,caveats,requires
pipelines_on_default_branch,project,count,count(pipelines where ref==default_branch and created_at in window),Number of pipelines created on the default branch in the window.,CI usage intensity on main integration branch.,Does not include pipelines on feature branches unless you add them.,Pipelines API
pipeline_success_rate,project,fraction (0-1),success_pipelines / total_pipelines,Fraction of default-branch pipelines that succeeded.,CI stability on default branch.,Canceled pipelines counted as non-success in this implementation (failed bucket).,Pipelines API (status)
pipeline_duration_seconds_mean,project,seconds,mean(pipeline.duration over pipelines in window with a duration),Average pipeline duration on default branch.,Feedback loop speed.,Duration can be null for running pipelines or missing data.,Pipeline details (duration)
pipeline_duration_seconds_median,project,seconds,median(pipeline.duration over pipelines in window with a duration),Median pipeline duration on default branch.,Typical feedback loop speed (robust).,Excludes pipelines without a duration.,Pipeline details (duration)
coverage_mean,project,percent,mean(pipeline.coverage over pipelines in window with coverage),Average code coverage as reported by GitLab pipelines (if configured).,Proxy for testing intensity.,Only valid if coverage extraction is configured consistently across repos.,Pipeline details (coverage)
coverage_median,project,percent,median(pipeline.coverage over pipelines in window with coverage),Median code coverage as reported by GitLab pipelines (if configured).,Typical testing intensity (robust).,Only valid if coverage extraction is configured; otherwise null.,Pipeline details (coverage)
has_ci,project,boolean,exists('.gitlab-ci.yml' on default branch),Whether the project has a GitLab CI configuration file.,CI configured in-repo.,Some orgs centralize CI; this would show false.,Repository files API
has_readme,project,boolean,exists('README.md' or 'README.rst' or 'README.txt' on default branch),Whether the project has a README at repo root.,Basic documentation present.,"Docs may exist elsewhere (e.g., wiki) and not be captured.",Repository files API
has_src,project,boolean,exists('src/' directory at repo root),Whether a 'src' directory exists at the repo root.,Packaging-friendly Python layout (common best practice).,Some repos use flat layout; false doesn't always imply low quality.,Repository tree API
has_tests,project,boolean,exists('tests/' or 'test/' directory at repo root),Whether a tests directory exists at the repo root.,Test scaffold likely present.,"Tests may exist elsewhere (e.g., under package dir).",Repository tree API
has_docs,project,boolean,exists('docs/' directory at repo root),Whether a docs directory exists at the repo root.,Dedicated documentation structure.,Docs may be in README only or external sites.,Repository tree API
has_pyproject,project,boolean,exists('pyproject.toml' on default branch),Whether pyproject.toml is present.,Modern Python packaging/tool configuration likely used.,Some repos still use setup.cfg/setup.py; may be fine.,Repository files API
has_requirements,project,boolean,exists('requirements.txt' or 'requirements-dev.txt' on default branch),Whether requirements files are present.,Dependencies declared in requirements files.,Poetry/uv/pip-tools may not use requirements.txt.,Repository files API
has_precommit,project,boolean,exists('.pre-commit-config.yaml' on default branch),Whether pre-commit configuration exists.,Local quality gates likely standardised.,May be managed centrally or via CI only.,Repository files API
has_linter,project,boolean,exists('ruff.toml' or '.ruff.toml' or '.flake8' on default branch),Whether a linter configuration exists.,Linting likely adopted.,Config could be in pyproject.toml; this check misses that unless extended.,Repository files API
has_typecheck,project,boolean,exists('mypy.ini' or 'pyrightconfig.json' on default branch),Whether type checking configuration exists.,Static typing checks likely adopted.,Config could be in pyproject.toml; this check misses that unless extended.,Repository files API
has_makefile,project,boolean,exists('Makefile' on default branch),Whether a Makefile exists.,Standard developer commands likely provided.,Some repos use task runners (tox/nox/poe) instead.,Repository files API
has_dockerfile,project,boolean,exists('Dockerfile' on default branch),Whether a Dockerfile exists.,Containerisation support for reproducibility/deployments.,"Deployment may not require Dockerfile (e.g., serverless).",Repository files API
repo_hygiene_score,project,points (0-11),"sum([has_ci, has_readme, has_src, has_tests, has_docs, (has_pyproject OR has_requirements), has_precommit, has_linter, has_typecheck, has_makefile, has_dockerfile])",Aggregate score from selected repo hygiene checks.,Quick maturity score for repo foundations.,Heuristic; should be calibrated to your team standards.,Repo hygiene booleans
notebooks_count,project,count,count(files ending with .ipynb in repo tree) when recursive scan enabled,Number of Jupyter notebooks found by recursive repository tree scan (capped).,Notebook footprint (prototype vs production balance indicator).,Requires recursive scan; count may be capped by max_tree.,Repository tree API (recursive)
python_files_count,project,count,count(files ending with .py in repo tree) when recursive scan enabled,Number of Python files found by recursive repository tree scan (capped).,Rough codebase size proxy.,Requires recursive scan; count may be capped by max_tree.,Repository tree API (recursive)
