#,Category,Use Case Name,Use Case Description (How Claude Code Helps),Key Benefits,Owner,Remi's Assessment,Rationale
16,Fraud & Mules / CCO,Erroneous Payments Detection & Prevention,"Detect and prevent erroneous payments by identifying incorrect, duplicate or anomalous payments where the bank may lose control of funds — including payments with incorrect/outdated SSIs, duplicate payments triggered days apart, and unusual patterns caused by human error, process failures or control gaps. Claude Code generates and standardises complex detection logic for SSI validation, duplicate payment detection and anomaly detection across large transaction volumes. Maintains consistent pipeline structure, testing scaffolds and documentation.","- More maintainable and auditable analytics pipelines aligned with governance expectations
- Scalable foundation extendable to new payment types, typologies and regions
- Reduces operational risk by standardising analytical implementations
- Improves reviewability of EP detection logic through consistent, well-documented code
- Increases analyst productivity by automating repetitive development tasks",Mayank Jain,Strong,"Well-scoped, financially material use case. EP detection is technically complex but structurally repeatable — exactly the profile where Claude Code adds most value. Governance and auditability framing is strong. Quantified financial and reputational impact makes this easy to justify."
17,CCO / TM,QC Automation in Transaction Monitoring (TC01),"Introduce an automated, intelligent pre-QC layer inside the TM workflow performing 100% first-level quality checks before cases go to QC/QA. Uses NLP/GenAI to compare analyst narrative against existing QC error codes (missed transactions, incomplete SoF/SoW, inadequate rationale for international activity, insufficient risk indicator documentation) and provides real-time structured prompts to highlight potential gaps — without generating conclusions or replacing analyst judgement. Phased rollout starting with high-impact QC error codes.","- Faster build and iteration of the pre-QC NLP/GenAI layer
- More production-ready, standardised implementation (security/scalability patterns baked in early)
- Improved auditability and governance alignment via consistent engineering artefacts
- Quicker adaptation to changing QC codes/policy
- Context-embedded development: policy/procedure context embedded directly into build artefacts",Mayank Jain,Strong,High-leverage use case: TM QC is constrained by sampling capacity while case volumes are large. Scale + repeatable build + governance alignment makes this a strong fit for Claude Code licences. Already formally discussed as a priority domain (TC01) with operations. Proven adjacent automation (KYC QC) validates approach.
18,CCO / OLO,LRR to Control Mapping,"Automate and accelerate mapping of internal controls to Legal, Regulatory and Rules-based (LRR) obligations published by OLO. Identifies the most relevant obligation matches for each control across large obligation packs, reducing manual line-by-line review effort while improving consistency, traceability and scalability for CCO mapping teams. Claude Code enables this as a production-ready, auditable software pipeline — scaffolding pipelines, standardising logic, maintaining traceability, agent orchestration, scoring and ranking outputs, and version-controlled documentation.","- Claude Code accelerates standing up and iterating an agentic mapping pipeline
- Helps architect more robust, production-ready code with security/scalability from outset
- Context-embedded development: embeds policy/obligation context directly
- Rapid re-runs and adaptability as OLO obligation packs change
- Reduced engineering toil: automates repetitive scaffolding
- Decisioning rather than boilerplate build work for SMEs",Mayank Jain,Strong,"Technically complex, highly repeatable, and currently consumes 20–25 FTEs for BUK alone. Claude Code is appropriate here not as a standalone AI but as the engineering accelerant. Partially proven through existing comparable analytics applications. Regulatory importance and scale make this one of the strongest use cases in the register."
19,CCO / Quality Assurance,QA Automation – Debit Card Reissue Calls (CCO),"Automate QA for debit card reissue customer calls by moving from manual sample-based review (50–100 calls per month) to full-population, data-driven QA control. Analyses AWS Connect call transcripts, FullServe agent actions and downstream customer outcomes to automatically classify customer requests, reconcile agent actions against standard procedures, and verify whether the intended outcome was achieved. Identifies repeat calls, delays, unmet outcomes and unauthorised actions across high-volume, high-risk call flows. Claude Code accelerates build by generating and refactoring core components: transcript ingestion, request classification, reconciliation rules, agent orchestration, scoring and QA output. Enables testable, reviewable pipelines and creation of test harnesses, validation checks and consistent documentation.","- Capacity release: process automation frees SME/analyst time for higher-value review and remediation
- Faster time-to-value: rapid prototyping to scale the QA pipeline quickly
- Production-ready delivery: helps architect robust code with security/scalability from day one
- Governance alignment: embeds policy/procedure context so outputs better meet control and compliance requirements",Mayank Jain,Strong,"Full-population QA from a manual sample is a significant operational improvement. The use case is specific, well-scoped and the engineering pattern (transcript ingestion → classification → reconciliation → output) is repeatable. Proven: automated call analytics, transcript classification and outcome reconciliation are well-established in QA and customer operations."
20,CCO / CAAR,CAAR Automation,"Automate and accelerate CAAR (Customer Account Activity Review) workflow by: (1) extracting and structuring inputs from the NoB/SoF (NobSof) transaction report and related sources, (2) generating consistent 'Nature of Business + expected payment flows' narrative including industry inference from nature-of-business text, and (3) producing repeatable payment-review and account-turnover summaries (incl. flags for sanctioned/restricted country exposure and unusual patterns) to support faster, higher-quality CAAR completion with human sign-off. Claude Code builds and maintains end-to-end automation pipeline (data ingestion → rules/metrics → anomaly checks → narrative generation): drafting and refactoring multi-file Python code for parsing NobSof/transaction extracts, standardising feature calculations, packaging the workflow for reuse, rapidly scaffolding production-ready components, helping embed internal workflow/context into the codebase as prompts/templates, and reducing iteration time when rules evolve (sanctioned country logic, cash verification steps, edge-case handling in transaction reports) without compromising SDLC controls.","- Accelerates development and iteration by generating production-aligned code scaffolds, reducing setup time and enabling faster progression from analysis to deployable solutions
- Improves consistency and quality through standardised patterns, reducing variation caused by individual coding styles and lowering rework during reviews and refreshes
- Strengthens governance and audit readiness by supporting reproducible, well-documented code and aligned artefacts meeting model risk, validation and control expectations
- Scales analytical productivity without additional headcount by automating repetitive engineering tasks",Mayank Jain,Strong,"Engineering-heavy (data wrangling, repeatable calculations, standardised narratives, governance artefacts). Claude Code provides leverage where most time is typically spent: building boilerplate, tests and maintainable pipeline structure. Faster delivery, less rework, more reliable outputs for an operationally critical CAAR workflow — while keeping final judgement with CSH/RDs. Proven in adjacent comparable areas."
21,Fraud & Mules,Insider Threat – Behavioural Risk Detection,"Identify potential insider-threat risk by analysing employee behavioural patterns across multiple data sources (access logs, check-in/check-out data, camera signals, system usage) to surface anomalous or high-risk behaviour for early intervention. Claude Code accelerates development of complex, multi-source analytics by generating consistent, production-aligned scaffolding for data ingestion, feature engineering, behavioural metrics and risk-scoring pipelines. Enables rapid iteration on hypotheses while embedding existing coding standards, governance requirements and documentation patterns from the outset.","- Faster development and iteration of behavioural risk features and analytics
- Improved consistency and comparability across models and metrics
- Reduced implementation risk through standardised, well-documented code patterns
- Better analyst focus on risk interpretation rather than pipeline engineering",Mayank Jain,Good,"Insider threat detection requires frequent experimentation, refinement of behavioural signals and careful governance — all areas where Claude Code reduces engineering toil. Value is real but the use case is earlier-stage and more experimental than others. Similar Claude Code applications in fraud, financial crime and surveillance analytics have shown clear value in accelerating development."
22,Fraud & Mules / CCO,BUK Application Models Development and Monitoring,"Claude accelerates consistent feature-engineering scaffolding across portfolios, embedding policy definitions and MRD logic directly into code templates and reducing manual re-implementation errors when porting logic between products (credit cards, loans, current accounts). Claude also assists by accelerating experimentation through the creation of feature-engineering pipelines in clearly delineated non-production environments. Key benefits include accelerated delivery of production-ready code, reduced re-work by embedding security, scalability and governance early, feature experimentation across portfolios, avoiding costly redesigns when engaging technology teams for platform upgrades.","- Generate validation checks (edge cases, indeterminate frauds, missing investigations)
- Speed up retros logic prototyping for PoCs and recalibrations
- Reducing re-work when models move from PoC to production and from legacy to new decisioning platform",Mayank Jain,Good,"Solid application of Claude Code to a complex multi-portfolio, multi-product problem. Benefits are clear and the consistency argument across Retail, Credit, BB and PB is compelling. Slightly overlaps with use case #12 (Fraud & Mules Model Development) — consider whether to consolidate or differentiate by platform context."
23,Fraud Analytics / EDP,Fraud Analytics EDP Migration (SAS → Python/Databricks),"Claude Code helps with EDP migration by enabling a proper like-for-like comparison of vendor tools to ensure the most effective option is chosen. Speeds up the shift from SAS to a Python-based framework, simplifies existing pipelines and reduces manual effort. Enhanced Ways of Working: supports setup of improved analytical frameworks, enabling better-quality analytics and improving analyst turnaround time and efficiency. Automation reduces migration effort and overall SAS exit costs. Productivity gains from quicker code conversion and fewer manual checks. Value extends beyond SAS exit — Claude can support broader analytics, QA and documentation tasks.","- Benefit case: reduction in migration effort/cost
- Higher-quality, standardised target-state pipelines",Richard Onions,Good,"SAS → Python migration is a real, time-bound engineering challenge. Claude Code's value for code conversion and pipeline simplification is well-proven. Benefits are tangible. The use case is somewhat transitional in nature (it terminates when migration is complete) but the value during the migration window is clear and the analytics quality improvement is durable."
24,CDD / Data,Transformation Implementation (Teradata/SAS → Databricks),"Many existing financial-crime, onboarding and control processes run on Teradata and SAS with complex, undocumented business logic. To modernise and support Databricks adoption, Claude Code reverse-engineers these legacy scripts and rebuilds them as scalable data pipelines. Proposed solution: reverse-engineer Teradata and SAS scripts to extract conceptual mappings (high-level flow of entities and business rules), logical mappings (detailed field-level transformations) and physical mappings (platform-specific technical mappings). Once validated, auto-generate Python/SQL code for Databricks (Delta pipelines, notebooks or workflows). Claude also enriches records for data quality, metadata tagging, category tagging (PII, high-risk, regulated) and standardisation for downstream pipelines.","- Preserves institutional knowledge embedded in legacy scripts
- Accelerates migration to Databricks
- Ensures traceability for regulatory/FC/CO use cases
- Reduces manual effort in data modelling and engineering
- Improves data quality and reduces interpretation errors
- Supports Data Design, DPIA, PII/CI/CS controlled and documentation production",Geoff Davies / Mayank Jain,Strong,"Addresses a genuine and significant engineering bottleneck across financial crime, onboarding and control processes. The combination of legacy script comprehension, structured extraction and code generation is exactly where Claude Code adds most value. Governance and traceability requirements make automated documentation and metadata tagging especially valuable. High-effort, high-reward."
25,CDD / Data,Data Modelling,"Claude supports end-to-end data modelling by generating complete conceptual and logical models using inputs such as business requirements, Jira stories, SME discussions, process flowsand legacy schemas. It identifies entities, relationships, attributes, cardinality, keys and semantic gaps, ensuring alignment with BCDM and enterprise modelling guidelines. It also performs attribute rationalisation across SDS, EDP and legacy sources to remove duplicates, standardise naming and converge similar fields. Claude validates EDP readiness by assessing metadata completeness, domain alignment, CDE/EDE mapping, partitioning strategy, granularity and lineage availability. It detects PII and sensitive fields automatically and recommends appropriate minimisation, masking, pseudonymisation, encryption and lawful basis considerations. Identifies data categories, lawful basis, retention, risks, mitigation controls and tags PII and special-category data while flagging cross-border restrictions (e.g., SAR segmentation).","- A single integrated modelling workflow reduces time, increases consistency and minimises redesign cycles
- Drastically accelerates modelling delivery, improves governance readiness and ensures alignment with BCDM, EDP, CDE/EDE and organisational modelling standards
- Reduces fragmentation, improves cross-domain interoperability and prevents downstream issues in lineage, DQ and transformations
- Privacy and PII detection built into modelling ensures regulatory compliance from day one",Mayank Jain,Strong,"Highly comprehensive use case that addresses a genuine pain point: data modelling is time-consuming, error-prone and governance-critical. Claude Code's ability to ingest heterogeneous inputs (Jira stories, legacy schemas, SME notes) and produce consistent, governance-ready outputs is well-suited. PII detection and BCDM alignment add significant compliance value."
26,CDD / Data,Data Design,"Claude automates the entire data design workflow by transforming raw discovery inputs (notes, Jira stories, meeting summaries, business requirements and legacy specifications) into complete, governance-ready Data Product Designs. Produces full functional and technical specifications including mappings, record structures, lineage, business rules, privacy requirements, controls, dependencies and usage notes. Generates comprehensive lineage across ingest → refine → curated layers by analysing SQL logic and transformation rules. Produces attribute-level lineage that meets governance, certification and Marketplace standards. Creates a full glossary and attribute dictionary including business definitions, technical semantics, permitted values, classifications and CDE/EDE linkage. Interprets sensitivity and architectural considerations to recommend end-to-end CI/CS measures (Confidentiality, Integrity, Cyber Security).","- Accelerates design creation, reducing hours or days of manual drafting into polished standardised documents
- Improves completeness and consistency across product documentation
- Automated lineage and metadata raise trust scores, boost Marketplace discoverability and improve certification outcomes
- Unified design workflow leads to faster delivery, higher-quality data products and more predictable enterprise governance cycles",Mayank Jain,Good,"Valuable use case that builds directly on Data Modelling (#25) but focuses on the downstream design artefacts. The automation of specification documents, lineage and attribute dictionaries is a real productivity multiplier. Slightly derivative of the modelling use case — consider whether these should be presented as sub-items of a unified 'Data Architecture' use case."
,,,,,,,

SUMMARY,Total use cases: 26,Good: 11  |  Moderate: 1  |  Strong: 14,,,,,
